"ID";"Titre";"Entité";"Catégorie";"Statut";"Dernière modification";"Date d'ouverture";"Priorité";"Demandeur - Demandeur";"TTR";
"19 446";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"02-01-2025 13:09";"02-01-2025 13:09";"Moyenne";"centre-appel@ladom.fr";"";
"19 445";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"02-01-2025 13:06";"02-01-2025 13:06";"Moyenne";"centre-appel@ladom.fr";"";
"19 444";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"02-01-2025 13:02";"02-01-2025 13:02";"Moyenne";"centre-appel@ladom.fr";"";
"19 443";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"02-01-2025 12:59";"02-01-2025 12:59";"Moyenne";"centre-appel@ladom.fr";"";
"19 442";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"02-01-2025 12:54";"02-01-2025 12:54";"Moyenne";"centre-appel@ladom.fr";"";
"19 441";"[Saint-Pierre] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"02-01-2025 12:52";"02-01-2025 12:52";"Moyenne";"centre-appel@ladom.fr";"";
"19 440";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"02-01-2025 12:51";"02-01-2025 12:51";"Moyenne";"centre-appel@ladom.fr";"";
"19 439";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Suivi de dossier";"Clos";"02-01-2025 12:44";"02-01-2025 12:44";"Moyenne";"centre-appel@ladom.fr";"";
"19 438";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"02-01-2025 12:42";"02-01-2025 12:42";"Moyenne";"centre-appel@ladom.fr";"";
"19 437";"[Saint-Denis] - Aide au voyage ''Grand Public'' (ACT)";"Root entity";"Besoin général d'informations";"Clos";"02-01-2025 12:41";"02-01-2025 12:41";"Moyenne";"centre-appel@ladom.fr";"";
